Estados,ISO-Code,Row,Col
Aguascalientes,AGU,60.5,40
Baja California,BCN,87,2
Baja California Sur,BCS,71.5,4
Campeche,CAM,13,92
Coahuila de Zaragoza,COA,83.5,41
Colima,COL,38,39.5
Chiapas,CHP,1.5,98.5
Chihuahua,CHH,84.5,28
Ciudad de México,CMX,25.5,58.5
Durango,DUR,72.5,34
Guanajuato,GUA,60,53.5
Guerrero,GRO,14,51.5
Hidalgo,HID,48.5,60
Jalisco,JAL,49,33
México,MEX,37,52.5
Michoacán de Ocampo,MIC,26,45.5
Morelos,MOR,49,46.5
Nayarit,NAY,61,27
Nuevo León,NLE,83.5,54
Oaxaca,OAX,13.5,64.5
Puebla,PUE,25,72
Querétaro,QUE,59,67
Quintana Roo,ROO,24,99.5
San Luis Potosí,SLP,71.5,60
Sinaloa,SIN,73,21
Sonora,SON,85.5,15
Tabasco,TAB,13,78.5
Tamaulipas,TAM,70.5,73
Tlaxcala,TLA,36.5,66
Veracruz de Ignacio de la Llave,VER,24.5,85.5
Yucatán,YUC,35.5,107
Zacatecas,ZAC,72,47